CODE (AOU/BBL)	SCIENTIFIC NAME	ENGLISH NAME 
FUWD	Dendrocygna bicolor	FULVOUS WHISTLING-DUCK
EMGO	Anser canagicus	EMPEROR GOOSE
SNGO	Anser caerulescens	SNOW GOOSE
ROGO	Anser rossii	ROSS'S GOOSE
GWFG	Anser albifrons	GREATER WHITE-FRONTED GOOSE
BRAN	Branta bernicla	BRANT
CACG	Branta hutchinsii	CACKLING GOOSE
CANG/CAGO	Branta canadensis	CANADA GOOSE
TRUS	Cygnus buccinator	TRUMPETER SWAN
TUSW	Cygnus columbianus	TUNDRA SWAN
WODU	Aix sponsa	WOOD DUCK
GARG	Spatula querquedula	GARGANEY
BWTE	Spatula discors	BLUE-WINGED TEAL
CITE	Spatula cyanoptera	CINNAMON TEAL
NSHO	Spatula clypeata	NORTHERN SHOVELER
GADW	Mareca strepera	GADWALL
EUWI	Mareca penelope	EURASIAN WIGEON
AMWI	Mareca americana	AMERICAN WIGEON
MALL	Anas platyrhynchos	MALLARD
NOPI	Anas acuta	NORTHERN PINTAIL
GWTE/AGWT	Anas crecca	GREEN-WINGED TEAL
CANV	Aythya valisineria	CANVASBACK
REDH	Aythya americana	REDHEAD
RNDU	Aythya collaris	RING-NECKED DUCK
TUDU	Aythya fuligula	TUFTED DUCK
GRSC	Aythya marila	GREATER SCAUP
LESC	Aythya affinis	LESSER SCAUP
HADU/HARD	Histrionicus histrionicus	HARLEQUIN DUCK
SUSC	Melanitta perspicillata	SURF SCOTER
BLSC	Melanitta americana	BLACK SCOTER
LTDU	Clangula hyemalis	LONG-TAILED DUCK
BUFF	Bucephala albeola	BUFFLEHEAD
COGO	Bucephala clangula	COMMON GOLDENEYE
BAGO	Bucephala islandica	BARROW'S GOLDENEYE
HOME	Lophodytes cucullatus	HOODED MERGANSER
COME	Mergus merganser	COMMON MERGANSER
RBME	Mergus serrator	RED-BREASTED MERGANSER
RUDU	Oxyura jamaicensis	RUDDY DUCK
MOUQ	Oreortyx pictus	MOUNTAIN QUAIL
CAQU	Callipepla californica	CALIFORNIA QUAIL
PBGR	Podilymbus podiceps	PIED-BILLED GREBE
HOGR	Podiceps auritus	HORNED GREBE
RNGR	Podiceps grisegena	RED-NECKED GREBE
EAGR	Podiceps nigricollis	EARED GREBE
WEGR	Aechmophorus occidentalis	WESTERN GREBE
CLGR	Aechmophorus clarkii	CLARK'S GREBE
BTPI	Patagioenas fasciata	BAND-TAILED PIGEON
MODO	Zenaida macroura	MOURNING DOVE
RGDO	Columbina talpacoti	RUDDY GROUND DOVE
GRRO	Geococcyx californianus	GREATER ROADRUNNER
YBCU	Coccyzus americanus	YELLOW-BILLED CUCKOO
LENI	Chordeiles acutipennis	LESSER NIGHTHAWK
CONI	Chordeiles minor	COMMON NIGHTHAWK
COPO	Phalaenoptilus nuttallii	COMMON POORWILL
BLSW	Cypseloides niger	BLACK SWIFT
CHSW	Chaetura pelagica	CHIMNEY SWIFT
VASW	Chaetura vauxi	VAUX'S SWIFT
WTSW	Aeronautes saxatalis	WHITE-THROATED SWIFT
BCHU	Archilochus alexandri	BLACK-CHINNED HUMMINGBIRD
ANHU	Calypte anna	ANNA'S HUMMINGBIRD
COHU	Calypte costae	COSTA'S HUMMINGBIRD
CAHU	Selasphorus calliope	CALLIOPE HUMMINGBIRD
RUHU	Selasphorus rufus	RUFOUS HUMMINGBIRD
ALHU	Selasphorus sasin	ALLEN'S HUMMINGBIRD
BBLH	Cynanthus latirostris	BROAD-BILLED HUMMINGBIRD
BLRA	Laterallus jamaicensis	BLACK RAIL
VIRA	Rallus limicola	VIRGINIA RAIL
SORA	Porzana carolina	SORA
COGA	Gallinula galeata	COMMON GALLINULE
AMCO	Fulica americana	AMERICAN COOT
SACR	Antigone canadensis	SANDHILL CRANE
BNST	Himantopus mexicanus	BLACK-NECKED STILT
AMAV	Recurvirostra americana	AMERICAN AVOCET
BBPL	Pluvialis squatarola	BLACK-BELLIED PLOVER
AMGP	Pluvialis dominica	AMERICAN GOLDEN-PLOVER
PAGP	Pluvialis fulva	PACIFIC GOLDEN-PLOVER
KILL	Charadrius vociferus	KILLDEER
CRPL	Charadrius hiaticula	COMMON RINGED PLOVER
SEPL	Charadrius semipalmatus	SEMIPALMATED PLOVER
MOPL	Anarhynchus montanus	MOUNTAIN PLOVER
SNPL	Anarhynchus nivosus	SNOWY PLOVER
WHIM	Numenius phaeopus	WHIMBREL
LBCU	Numenius americanus	LONG-BILLED CURLEW
HUGO	Limosa haemastica	HUDSONIAN GODWIT
MAGO	Limosa fedoa	MARBLED GODWIT
RUTU	Arenaria interpres	RUDDY TURNSTONE
BLTU	Arenaria melanocephala	BLACK TURNSTONE
REKN	Calidris canutus	RED KNOT
RUFF	Calidris pugnax	RUFF
SPTS/SHAS	Calidris acuminata	SHARP-TAILED SANDPIPER
STSA	Calidris himantopus	STILT SANDPIPER
CUSA	Calidris ferruginea	CURLEW SANDPIPER
RNST	Calidris ruficollis	RED-NECKED STINT
SAND	Calidris alba	SANDERLING
DUNL	Calidris alpina	DUNLIN
BASA	Calidris bairdii	BAIRD'S SANDPIPER
LIST	Calidris minuta	LITTLE STINT
LESA	Calidris minutilla	LEAST SANDPIPER
BBSA	Calidris subruficollis	BUFF-BREASTED SANDPIPER
PESA	Calidris melanotos	PECTORAL SANDPIPER
SESA	Calidris pusilla	SEMIPALMATED SANDPIPER
WESA	Calidris mauri	WESTERN SANDPIPER
SBDO	Limnodromus griseus	SHORT-BILLED DOWITCHER
LBDO	Limnodromus scolopaceus	LONG-BILLED DOWITCHER
WISN	Gallinago delicata	WILSON'S SNIPE
SPSA	Actitis macularius	SPOTTED SANDPIPER
SOSA	Tringa solitaria	SOLITARY SANDPIPER
LEYE	Tringa flavipes	LESSER YELLOWLEGS
WILL	Tringa semipalmata	WILLET
GRYE	Tringa melanoleuca	GREATER YELLOWLEGS
WOSA		Wood Sandpiper
MASA	Tringa stagnatilis	MARSH SANDPIPER
WIPH	Phalaropus tricolor	WILSON'S PHALAROPE
RNPH	Phalaropus lobatus	RED-NECKED PHALAROPE
REPH	Phalaropus fulicarius	RED PHALAROPE
PAJA	Stercorarius parasiticus	PARASITIC JAEGER
LTJA	Stercorarius longicaudus	LONG-TAILED JAEGER
BLKI	Rissa tridactyla	BLACK-LEGGED KITTIWAKE
SAGU	Xema sabini	SABINE'S GULL
BOGU	Chroicocephalus philadelphia	BONAPARTE'S GULL
LIGU	Hydrocoloeus minutus	LITTLE GULL
FRGU	Leucophaeus pipixcan	FRANKLIN'S GULL
SBIG/SHOG	Larus brachyrhynchus	SHORT-BILLED GULL
RBGU	Larus delawarensis	RING-BILLED GULL
WEGU	Larus occidentalis	WESTERN GULL
CAGU	Larus californicus	CALIFORNIA GULL
HERG	Larus argentatus	HERRING GULL
ICGU	Larus glaucoides	ICELAND GULL
LBBG	Larus fuscus	LESSER BLACK-BACKED GULL
SBAG	Larus schistisagus	SLATY-BACKED GULL
GWGU	Larus glaucescens	GLAUCOUS-WINGED GULL
GLGU	Larus hyperboreus	GLAUCOUS GULL
LETE	Sternula antillarum	LEAST TERN
CATE	Hydroprogne caspia	CASPIAN TERN
BLTE	Chlidonias niger	BLACK TERN
COTE	Sterna hirundo	COMMON TERN
ARTE	Sterna paradisaea	ARCTIC TERN
FOTE	Sterna forsteri	FORSTER'S TERN
BLSK	Rynchops niger	BLACK SKIMMER
RTLO	Gavia stellata	RED-THROATED LOON
PALO	Gavia pacifica	PACIFIC LOON
COLO	Gavia immer	COMMON LOON
FTSP	Hydrobates furcatus	FORK-TAILED STORM-PETREL
WOST	Mycteria americana 	WOOD STORK
DCCO	Nannopterum auritum	DOUBLE-CRESTED CORMORANT
AWPE	Pelecanus erythrorhynchos	AMERICAN WHITE PELICAN
BRPE	Pelecanus occidentalis	BROWN PELICAN
AMBI	Botaurus lentiginosus	AMERICAN BITTERN
LEBI	Ixobrychus exilis	LEAST BITTERN
GBHE	Ardea herodias	GREAT BLUE HERON
GREG	Ardea alba	GREAT EGRET
SNEG	Egretta thula	SNOWY EGRET
LBHE	Egretta caerulea	LITTLE BLUE HERON
CAEG	Bubulcus ibis	WESTERN CATTLE EGRET
GRHE	Butorides virescens	GREEN HERON
BCNH	Nycticorax nycticorax	BLACK-CROWNED NIGHT HERON
WFIB	Plegadis chihi	WHITE-FACED IBIS
GLIB	Plegadis falcinellus	GLOSSY IBIS
TUVU	Cathartes aura	TURKEY VULTURE
OSPR	Pandion haliaetus	OSPREY
WTKI	Elanus leucurus	WHITE-TAILED KITE
GOEA	Aquila chrysaetos	GOLDEN EAGLE
NOHA	Haliaeetus leucocephalus	NORTHERN HARRIER
SSHA	Accipiter striatus	SHARP-SHINNED HAWK
COHA	Accipiter cooperii	COOPER'S HAWK
AGOS	Accipiter atricapillus	AMERICAN GOSHAWK
BAEA	Haliaeetus leucocephalus	BALD EAGLE
RSHA	Buteo lineatus	RED-SHOULDERED HAWK
SWHA	Buteo swainsoni	SWAINSON'S HAWK
ZTHA	Buteo albonotatus	ZONE-TAILED HAWK
RTHA	Buteo jamaicensis	RED-TAILED HAWK
RLHA	Buteo lagopus	ROUGH-LEGGED HAWK
FEHA	Buteo regalis	FERRUGINOUS HAWK
BANO/BNOW	Tyto alba	BARN OWL
FLOW	Psiloscops flammeolus	FLAMMULATED OWL
WESO	Megascops kennicottii	WESTERN SCREECH-OWL
GHOW	Bubo virginianus	GREAT HORNED OWL
SNOW	Bubo scandiacus	SNOWY OWL
NOPO	Glaucidium gnoma	NORTHERN PYGMY-OWL
BUOW	Athene cunicularia	BURROWING OWL
BADO/BDOW	Strix varia	BARRED OWL
LEOW	Asio otus	LONG-EARED OWL
SEOW	Asio flammeus	SHORT-EARED OWL
NSWO	Aegolius acadicus	NORTHERN SAW-WHET OWL
BEKI	Megaceryle alcyon	BELTED KINGFISHER
LEWO	Melanerpes lewis	LEWIS'S WOODPECKER
ACWO	Melanerpes formicivorus	ACORN WOODPECKER
YBSA	Sphyrapicus varius	YELLOW-BELLIED SAPSUCKER
RNSA	Sphyrapicus nuchalis	RED-NAPED SAPSUCKER
RBSA	Sphyrapicus ruber	RED-BREASTED SAPSUCKER
DOWO	Dryobates pubescens	DOWNY WOODPECKER
NUWO	Dryobates nuttallii	NUTTALL'S WOODPECKER
HAWO	Dryobates villosus	HAIRY WOODPECKER
NOFL	Colaptes auratus	NORTHERN FLICKER
PIWO	Dryocopus pileatus	PILEATED WOODPECKER
CRCA	Caracara plancus	CRESTED CARACARA
AMKE	Falco sparverius	AMERICAN KESTREL
MERL	Falco columbarius	MERLIN
GYRF	Falco rusticolus	GYRFALCON
PEFA	Falco peregrinus	PEREGRINE FALCON
PRFA	Falco mexicanus	PRAIRIE FALCON
ATFL	Myiarchus cinerascens	ASH-THROATED FLYCATCHER
TRKI	Tyrannus melancholicus	TROPICAL KINGBIRD
CAKI	Tyrannus vociferans	CASSIN'S KINGBIRD
WEKI	Tyrannus verticalis	WESTERN KINGBIRD
EAKI	Tyrannus tyrannus	EASTERN KINGBIRD
STFL	Tyrannus forficatus	SCISSOR-TAILED FLYCATCHER
OSFL	Contopus cooperi	OLIVE-SIDED FLYCATCHER
WEWP	Contopus sordidulus	WESTERN WOOD-PEWEE
EAWP	Contopus virens	EASTERN WOOD-PEWEE
YBFL	Empidonax flaviventris	YELLOW-BELLIED FLYCATCHER
WIFL	Empidonax traillii	WILLOW FLYCATCHER
LEFL	Empidonax minimus	LEAST FLYCATCHER
HAFL	Empidonax hammondii	HAMMOND'S FLYCATCHER
GRFL	Empidonax wrightii	GRAY FLYCATCHER
DUFL	Empidonax oberholseri	DUSKY FLYCATCHER
WEFL	Empidonax difficilis	WESTERN FLYCATCHER
BLPH	Sayornis nigricans	BLACK PHOEBE
EAPH	Sayornis phoebe	EASTERN PHOEBE
SAPH	Sayornis saya	SAY'S PHOEBE
VEFL	Pyrocephalus rubinus	VERMILION FLYCATCHER
LOSH	Lanius ludovicianus	LOGGERHEAD SHRIKE
NSHR	Lanius borealis	NORTHERN SHRIKE
BEVI	Vireo bellii	BELL'S VIREO
HUVI	Vireo huttoni	HUTTON'S VIREO
CAVI	Vireo cassinii	CASSIN'S VIREO
BHVI	Vireo solitarius	BLUE-HEADED VIREO
PLVI	Vireo plumbeus	PLUMBEOUS VIREO
WAVI	Vireo gilvus	WARBLING VIREO
REVI	Vireo olivaceus	RED-EYED VIREO
STJA	Cyanocitta stelleri	STELLER'S JAY
CASJ	Aphelocoma californica	CALIFORNIA SCRUB-JAY
CLNU	Nucifraga columbiana	CLARK'S NUTCRACKER
YBMA	Pica nuttalli	YELLOW-BILLED MAGPIE
AMCR	Corvus brachyrhynchos	AMERICAN CROW
CORA	Corvus corax	COMMON RAVEN
HOLA	Eremophila alpestris	HORNED LARK
BANS	Progne subis	BANK SWALLOW
TRES	Tachycineta bicolor	TREE SWALLOW
VGSW	Tachycineta thalassina	VIOLET-GREEN SWALLOW
NRWS	Stelgidopteryx serripennis	NORTHERN ROUGH-WINGED SWALLOW
PUMA	Riparia riparia	PURPLE MARTIN
BARS	Petrochelidon pyrrhonota	BARN SWALLOW
CLSW	Hirundo rustica	CLIFF SWALLOW
MOCH	Poecile gambeli	MOUNTAIN CHICKADEE
CBCH	Poecile rufescens	CHESTNUT-BACKED CHICKADEE
OATI	Baeolophus inornatus	OAK TITMOUSE
BUSH	Psaltriparus minimus	BUSHTIT
RBNU	Sitta canadensis	RED-BREASTED NUTHATCH
WBNU	Sitta carolinensis	WHITE-BREASTED NUTHATCH
PYNU	Sitta pygmaea	PYGMY NUTHATCH
BRCR	Certhia americana	BROWN CREEPER
ROWR	Salpinctes obsoletus	ROCK WREN
CANW	Catherpes mexicanus	CANYON WREN
BEWR	Thryomanes bewickii	BEWICK'S WREN
HOWR	Troglodytes aedon	HOUSE WREN
PAWR	Troglodytes pacificus	PACIFIC WREN
WIWR	Troglodytes hiemalis	WINTER WREN
MAWR	Cistothorus palustris	MARSH WREN
BGGN	Polioptila caerulea	BLUE-GRAY GNATCATCHER
AMDI	Cinclus mexicanus	AMERICAN DIPPER
RCKI	Corthylio calendula	RUBY-CROWNED KINGLET
GCKI	Regulus satrapa	GOLDEN-CROWNED KINGLET
WREN	Chamaea fasciata	WRENTIT
TAFL	Ficedula albicilla	TAIGA FLYCATCHER
WEBL	Sialia mexicana	WESTERN BLUEBIRD
MOBL	Sialia currucoides	MOUNTAIN BLUEBIRD
TOSO	Myadestes townsendi	TOWNSEND'S SOLITAIRE
VEER	Catharus fuscescens	VEERY
SWTH	Catharus ustulatus	SWAINSON'S THRUSH
HETH	Catharus guttatus	HERMIT THRUSH
AMRO	Turdus migratorius	AMERICAN ROBIN
VATH	Ixoreus naevius	VARIED THRUSH
GRCA	Dumetella carolinensis	GRAY CATBIRD
CBTH	Toxostoma curvirostre	CURVED-BILLED THRASHER
CATH	Toxostoma redivivum	CALIFORNIA THRASHER
SATH	Oreoscoptes montanus	SAGE THRASHER
NOMO	Mimus polyglottos	NORTHERN MOCKINGBIRD
BOWA	Bombycilla garrulus	BOHEMIAN WAXWING
CEDW	Bombycilla cedrorum	CEDAR WAXWING
PHAI	Phainopepla nitens	PHAINOPEPLA
CIWA	Motacilla citreola	CITRINE WAGTAIL
RTPI	Anthus cervinus	RED-THROATED PIPIT
AMPI	Anthus rubescens	AMERICAN PIPIT
EVGR	Coccothraustes vespertinus	EVENING GROSBEAK
HOFI	Haemorhous mexicanus	HOUSE FINCH
PUFI	Haemorhous purpureus	PURPLE FINCH
CAFI	Haemorhous cassinii	CASSIN'S FINCH
CORE	Acanthis flammea	COMMON REDPOLL
RECR	Loxia curvirostra	RED CROSSBILL
PISI	Spinus pinus	PINE SISKIN
LEGO	Spinus psaltria	LESSER GOLDFINCH
LAGO	Spinus lawrencei	LAWRENCE'S GOLDFINCH
AMGO	Spinus tristis	AMERICAN GOLDFINCH
LALO	Calcarius lapponicus	LAPLAND LONGSPUR
CCLO	Calcarius ornatus	CHESTNUT-COLLARED LONGSPUR
TBLO	Rhynchophanes mccownii	THICK-BILLED LONGSPUR
SNBU	Plectrophenax nivalis	SNOW BUNTING
GRSP	Ammospiza savannarum	GRASSHOPPER SPARROW
BTSP	Amphispiza bilineata	BLACK-THROATED SPARROW
LASP	Chondestes grammacus	LARK SPARROW
LARB	Calamospiza melanocorys	LARK BUNTING
CHSP	Spizella passerina	CHIPPING SPARROW
CCSP	Spizella pallida	CLAY-COLORED SPARROW
BCSP	Spizella atrogularis	BLACK-CHINNED SPARROW
BRSP	Spizella breweri	BREWER'S SPARROW
